run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,fwd_1,drops_1,fwd_2,drops_2,fwd_3,drops_3,fwd_4,drops_4,fwd_5,drops_5,fwd_6,drops_6,fwd_7,drops_7,fwd_8,drops_8
1,cross,60,8,0.8026,5.808,96.8,0.0,4065000,0,9975000,0,4162500,0,3570000,0,4860000,0,10125000,0,3135000,0,3667500,0
2,cross,60,8,0.8436,5.817,96.95,0.0,4147500,0,9300000,0,4042500,0,4350000,0,3915000,0,9675000,0,4620000,0,3577500,0
3,cross,60,8,0.8535,4.952,82.53,0.0,5857500,0,1372500,0,6172500,0,5422500,0,5527500,0,1327500,0,6135000,0,5325000,0
4,cross,60,8,0.7876,5.195,86.58,0.0,9675000,0,1282500,0,3555000,0,4815000,0,6172500,0,1980000,0,4762500,0,6720000,0
5,cross,60,8,0.7695,5.489,91.48,0.0,5025000,0,1342500,0,8175000,0,6000000,0,9900000,0,1335000,0,3817500,0,5572500,0
6,cross,60,8,0.8541,4.752,79.2,0.0,5475000,0,1327500,0,5685000,0,5520000,0,6202500,0,1342500,0,5377500,0,4710000,0
7,cross,60,8,0.8137,5.271,87.85,0.0,6645000,0,2070000,0,5722500,0,5692500,0,4800000,0,1057500,0,9075000,0,4470000,0
8,cross,60,8,0.8267,5.245,87.42,0.0,6052500,0,1552500,0,5295000,0,6682500,0,6435000,0,862500,0,5115000,0,7342500,0
9,cross,60,8,0.7785,5.479,91.32,0.0,3922500,0,1125000,0,3772500,0,11250000,0,5985000,0,3862500,0,6090000,0,5085000,0
10,cross,60,8,0.8651,5.48,91.33,0.0,6570000,0,1875000,0,6547500,0,5625000,0,5167500,0,2272500,0,4792500,0,8250000,0
11,cross,60,8,0.8754,5.643,94.05,0.0,5122500,0,2130000,0,6720000,0,6135000,0,6465000,0,1950000,0,7725000,0,6075000,0
12,cross,60,8,0.8662,5.667,94.45,0.0,5782500,0,1755000,0,7440000,0,6585000,0,6697500,0,1815000,0,6405000,0,6022500,0
13,cross,60,8,0.8758,5.57,92.83,0.0,5790000,0,1950000,0,6660000,0,6727500,0,6217500,0,1755000,0,6165000,0,6510000,0
14,cross,60,8,0.8945,5.52,92.0,0.0,7477500,0,2250000,0,5055000,0,5820000,0,6210000,0,2347500,0,6382500,0,5857500,0
15,cross,60,8,0.9336,5.522,92.03,0.0,5910000,0,2047500,0,6120000,0,6135000,0,4987500,0,4222500,0,5355000,0,6637500,0
16,cross,60,8,0.8958,5.557,92.62,0.0,6060000,0,2047500,0,6375000,0,6105000,0,6765000,0,2332500,0,5527500,0,6465000,0
17,cross,60,8,0.8932,5.623,93.72,0.0,6165000,0,2715000,0,5895000,0,5932500,0,6817500,0,1680000,0,6787500,0,6180000,0
18,cross,60,8,0.8273,5.72,95.33,0.0,6277500,0,1987500,0,6547500,0,5497500,0,7410000,0,862500,0,5842500,0,8475000,0
19,cross,60,8,0.845,5.43,90.5,0.0,7387500,0,1395000,0,5272500,0,6607500,0,5752500,0,1560000,0,5842500,0,6907500,0
20,cross,60,8,0.8969,5.511,91.85,0.0,6255000,0,2295000,0,5767500,0,6022500,0,6180000,0,2055000,0,5947500,0,6810000,0
21,cross,60,8,0.9155,5.403,90.05,0.0,6045000,0,2152500,0,6232500,0,5940000,0,6247500,0,2737500,0,5707500,0,5460000,0
22,cross,60,8,0.8298,5.701,95.02,0.0,6690000,0,1702500,0,6690000,0,6472500,0,5902500,0,1732500,0,4417500,0,9150000,0
23,cross,60,8,0.9137,5.475,91.25,0.0,5767500,0,2977500,0,6037500,0,5932500,0,5610000,0,1972500,0,6195000,0,6570000,0
24,cross,60,8,0.8867,5.522,92.03,0.0,5760000,0,2602500,0,8625000,0,4177500,0,6180000,0,2722500,0,5617500,0,5730000,0
25,cross,60,8,0.8635,5.58,93.0,0.0,6157500,0,1980000,0,6217500,0,6532500,0,5640000,0,1590000,0,5932500,0,7800000,0
26,cross,60,8,0.8826,5.516,91.93,0.0,6090000,0,1320000,0,6315000,0,6817500,0,5865000,0,2835000,0,6847500,0,5280000,0
27,cross,60,8,0.7512,5.823,97.05,0.0,3300000,0,10950000,0,3870000,0,3727500,0,3810000,0,10800000,0,3105000,0,4110000,0
28,cross,60,8,0.7944,5.838,97.3,0.0,4057500,0,9750000,0,4042500,0,3930000,0,3562500,0,10725000,0,3210000,0,4507500,0
29,cross,60,8,0.8795,5.291,88.18,0.0,5865000,0,2767500,0,4867500,0,6015000,0,6240000,0,1477500,0,7500000,0,4950000,0
30,cross,60,8,0.8268,5.456,90.93,0.0,8700000,0,1695000,0,6097500,0,3960000,0,4965000,0,1815000,0,6622500,0,7065000,0
