run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,fwd_1,drops_1,fwd_2,drops_2,fwd_3,drops_3,fwd_4,drops_4
1,dumbbell,60,4,0.8565,2.941,98.03,0.0,4695000,0,9300000,0,4732500,0,3330000,0
2,dumbbell,60,4,0.8749,2.914,97.13,0.0,3937500,0,9000000,0,4125000,0,4792500,0
3,dumbbell,60,4,0.9518,2.909,96.97,0.0,5880000,0,7215000,0,4785000,0,3937500,0
4,dumbbell,60,4,0.8466,2.924,97.47,0.0,4110000,0,9525000,0,4140000,0,4155000,0
5,dumbbell,60,4,0.8222,2.907,96.9,0.0,4080000,0,9825000,0,4237500,0,3660000,0
6,dumbbell,60,4,0.8942,2.918,97.27,0.0,4125000,0,8700000,0,4807500,0,4252500,0
7,dumbbell,60,4,0.8763,2.932,97.73,0.0,4342500,0,9075000,0,4237500,0,4335000,0
8,dumbbell,60,4,0.8237,2.895,96.5,0.0,4447500,0,9675000,0,3127500,0,4462500,0
9,dumbbell,60,4,0.8299,2.897,96.57,0.0,3735000,0,9675000,0,3967500,0,4350000,0
10,dumbbell,60,4,0.9168,2.914,97.13,0.0,5107500,0,8250000,0,4267500,0,4230000,0
11,dumbbell,60,4,0.8008,2.901,96.7,0.0,3637500,0,10125000,0,4192500,0,3802500,0
12,dumbbell,60,4,0.8784,2.905,96.83,0.0,4725000,0,8925000,0,4020000,0,4117500,0
13,dumbbell,60,4,0.8035,2.899,96.63,0.0,4192500,0,10050000,0,4185000,0,3315000,0
14,dumbbell,60,4,0.892,2.921,97.37,0.0,4500000,0,8775000,0,4282500,0,4350000,0
15,dumbbell,60,4,0.8992,2.914,97.13,0.0,4605000,0,8625000,0,4260000,0,4365000,0
16,dumbbell,60,4,0.8135,2.932,97.73,0.0,4042500,0,10050000,0,3750000,0,4147500,0
17,dumbbell,60,4,0.7984,2.941,98.03,0.0,4485000,0,10275000,0,3540000,0,3757500,0
18,dumbbell,60,4,0.8328,2.956,98.53,0.0,3915000,0,9825000,0,3930000,0,4500000,0
19,dumbbell,60,4,0.838,2.908,96.93,0.0,4237500,0,9600000,0,4072500,0,3900000,0
20,dumbbell,60,4,0.9167,2.928,97.6,0.0,4410000,0,8325000,0,4935000,0,4290000,0
21,dumbbell,60,4,0.7653,2.947,98.23,0.0,3967500,0,10800000,0,3277500,0,4057500,0
22,dumbbell,60,4,0.8201,2.898,96.6,0.0,4065000,0,9750000,0,3232500,0,4687500,0
23,dumbbell,60,4,0.973,2.924,97.47,0.0,5542500,0,6877500,0,5160000,0,4350000,0
24,dumbbell,60,4,0.9128,2.812,93.73,0.0,6322500,0,2535000,0,6667500,0,5565000,0
25,dumbbell,60,4,0.9585,2.93,97.67,0.0,7222500,0,4080000,0,5032500,0,5640000,0
26,dumbbell,60,4,0.9572,2.923,97.43,0.0,5880000,0,4342500,0,7200000,0,4500000,0
27,dumbbell,60,4,0.9937,2.929,97.63,0.0,5302500,0,5535000,0,6165000,0,4965000,0
28,dumbbell,60,4,0.9538,2.911,97.03,0.0,7372500,0,4492500,0,4380000,0,5587500,0
29,dumbbell,60,4,0.9927,2.934,97.8,0.0,5722500,0,6150000,0,4920000,0,5212500,0
30,dumbbell,60,4,0.8787,2.905,96.83,0.0,5250000,0,2445000,0,5992500,0,8100000,0
