run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,avg_karma,karma_1,fwd_1,drops_1,karma_2,fwd_2,drops_2,karma_3,fwd_3,drops_3,karma_4,fwd_4,drops_4
1,dumbbell,60,4,0.9367,2.991,99.7,3.3915,18.5,10,4881980,90,15,4030526,57,0,7949234,229,49,5570720,149
2,dumbbell,60,4,0.9455,3.0069,100.0,3.813,8.5,0,4763380,134,2,4901076,63,0,4906820,108,32,7980814,291
3,dumbbell,60,4,0.9164,3.0125,100.0,2.719,0.0,0,5670020,71,0,4690630,33,0,3848846,96,0,8384568,221
4,dumbbell,60,4,0.953,3.018,100.0,6.0399,1.0,0,7129352,326,4,4754284,63,0,4115128,93,0,6635862,488
5,dumbbell,60,4,0.986,2.9706,99.02,3.6646,4.75,0,5246196,176,4,6141108,72,4,6252706,147,11,4639424,170
6,dumbbell,60,4,0.9811,2.877,95.9,5.0745,1.0,0,4772386,167,4,4614930,138,0,5730012,260,0,6460496,204
7,dumbbell,60,4,0.9904,2.9055,96.85,6.2832,1.25,0,5199562,263,5,5644516,198,0,6196136,272,0,4751256,241
8,dumbbell,60,4,0.9869,2.981,99.37,5.2147,14.5,0,5714632,235,47,4524288,91,0,6250084,241,11,5868160,253
9,dumbbell,60,4,0.9715,2.9483,98.28,3.6219,9.0,30,5566244,99,2,4100170,33,2,5687028,160,2,6759036,262
10,dumbbell,60,4,0.9716,2.9677,98.92,1.774,3.5,6,4615062,60,0,5630824,62,8,7085270,61,0,4926880,85
11,dumbbell,60,4,0.9693,2.8748,95.83,3.7692,3.0,0,4452998,133,8,5328090,79,0,4816358,100,4,6963210,251
12,dumbbell,60,4,0.9992,2.991,99.7,4.6298,3.25,0,5859438,167,9,5415968,46,0,5553610,253,4,5603638,260
13,dumbbell,60,4,0.9396,2.9652,98.84,3.8896,9.25,0,7020690,114,0,3378070,33,0,6551080,310,37,5289058,143
14,dumbbell,60,4,0.9737,2.9428,98.09,3.0762,8.75,20,6265400,170,0,4039676,43,15,5511556,106,0,6254658,148
15,dumbbell,60,4,0.9281,2.9425,98.08,3.8933,0.0,0,3891238,110,0,8042692,151,0,5061686,197,0,5073184,138
16,dumbbell,60,4,0.9641,2.9263,97.54,4.9872,2.25,0,7146604,286,9,4215234,53,0,5417594,204,0,5167694,225
17,dumbbell,60,4,0.8486,3.0118,100.0,5.9166,32.5,30,8417042,439,100,2581628,0,0,7475742,379,0,4113796,129
18,dumbbell,60,4,0.9632,2.9353,97.84,2.4201,0.75,3,5438660,84,0,4630070,15,0,4664892,98,0,7281084,167
19,dumbbell,60,4,0.9964,2.951,98.37,2.6072,7.5,0,6068854,112,0,5205390,36,30,5548624,161,0,5309800,86
20,dumbbell,60,4,0.8342,2.9496,98.32,6.8351,30.0,36,4290382,92,19,3132724,6,30,9630916,714,35,5067956,270
21,dumbbell,60,4,0.9934,2.9366,97.89,3.2485,9.25,0,5886690,167,0,4766330,69,30,5833452,131,7,5538274,126
22,dumbbell,60,4,0.992,2.9556,98.52,4.2131,1.75,0,5733698,125,7,5319006,74,0,4886758,210,0,6227638,241
23,dumbbell,60,4,0.9793,2.9152,97.17,3.1302,0.0,0,6271664,116,0,4257626,55,0,5260840,142,0,6073602,158
24,dumbbell,60,4,0.9244,2.9031,96.77,3.317,33.75,0,6443308,127,100,3113042,6,0,7199328,221,35,5017720,144
25,dumbbell,60,4,0.9659,2.9114,97.05,3.8444,12.5,0,4723820,143,30,7147852,102,20,5402342,127,0,4561196,210
26,dumbbell,60,4,0.9206,2.9565,98.55,2.2935,33.25,30,7840064,128,100,3362852,1,3,6018602,114,0,4952552,104
27,dumbbell,60,4,0.9836,2.9225,97.42,2.9102,16.5,0,5909400,142,36,4887516,57,30,6414748,150,0,4707284,89
28,dumbbell,60,4,0.8655,2.9311,97.7,5.2006,26.75,0,4888872,148,100,3217508,1,7,9065486,529,0,4811750,126
29,dumbbell,60,4,0.95,2.9351,97.84,6.9374,3.75,0,6916654,313,7,3638532,50,0,6363754,486,8,5094540,245
30,dumbbell,60,4,0.9762,2.8304,94.35,1.7905,8.75,0,5028318,60,0,6693718,75,0,5011664,51,35,4493942,72
