run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,avg_karma,karma_1,fwd_1,drops_1,karma_2,fwd_2,drops_2,karma_3,fwd_3,drops_3,karma_4,fwd_4,drops_4,karma_5,fwd_5,drops_5,karma_6,fwd_6,drops_6,karma_7,fwd_7,drops_7,karma_8,fwd_8,drops_8
1,cross,60,8,0.8348,5.676,94.6,3.0804,100.0,100,5675260,69,100,1994196,25,100,9219102,231,100,3793278,126,100,6331418,89,100,2050214,8,100,6383798,161,100,7122588,193
2,cross,60,8,0.8288,6.1191,100.0,5.1728,100.0,100,5545974,115,100,2121372,51,100,7869094,366,100,7040634,394,100,4758784,138,100,1888294,60,100,6636050,174,100,10033398,371
3,cross,60,8,0.7179,6.2536,100.0,9.4232,100.0,100,12030936,783,100,2015392,88,100,5765814,731,100,3587504,515,100,8533194,416,100,2876936,47,100,10164610,571,100,1927952,102
4,cross,60,8,0.8218,5.6845,94.74,7.0932,100.0,100,5437674,316,100,1730838,26,100,6343860,321,100,8146862,634,100,5089624,376,100,1223570,6,100,8432328,244,100,6229242,247
5,cross,60,8,0.8133,6.0662,100.0,7.2219,100.0,100,5472062,291,100,1605176,52,100,10004038,580,100,5562032,289,100,8233812,345,100,1670200,20,100,6194340,387,100,6754968,397
6,cross,60,8,0.6884,5.9445,99.08,4.8926,100.0,100,8521148,111,100,1730760,18,100,7628902,362,100,4071782,86,100,13332174,315,100,1538482,9,100,3489758,338,100,4270860,290
7,cross,60,8,0.8865,5.9451,99.09,7.4448,100.0,100,6706526,138,100,2698284,28,100,5641358,161,100,6936076,166,100,8890214,645,100,2966184,123,100,6497342,871,100,4252358,259
8,cross,60,8,0.7349,5.9919,99.86,8.0842,100.0,100,6626230,583,100,1873154,76,100,8363606,435,100,5006426,348,100,6675188,384,100,1179742,33,100,12045714,679,100,3169022,97
9,cross,60,8,0.7049,5.9933,99.89,9.6346,100.0,100,5028734,291,100,633188,20,100,7019816,309,100,9446236,1041,100,6824008,379,100,1387082,39,100,2897336,114,100,11713482,1002
10,cross,60,8,0.7424,5.7057,95.09,3.157,100.0,100,2802750,108,100,1388674,5,100,8328022,319,100,9293700,456,100,4666092,18,100,860210,0,100,7053708,13,100,8399390,11
11,cross,60,8,0.8633,6.1496,100.0,13.4664,100.0,100,10248450,832,100,1892758,84,100,4911638,663,100,5344032,714,100,8021224,843,100,5580862,309,100,5099110,717,100,5023842,623
12,cross,60,8,0.8729,5.9428,99.05,6.191,100.0,100,8930456,889,100,2951044,68,100,4532576,166,100,5440168,170,100,5880160,282,100,3742866,74,100,4142732,108,100,8950910,204
13,cross,60,8,0.8003,5.9847,99.74,4.3229,100.0,100,10267606,381,100,2501464,5,100,4611320,54,100,4648224,94,100,9006574,378,100,1623266,10,100,5211166,200,100,7015438,230
14,cross,60,8,0.8381,5.8922,98.2,8.3895,100.0,100,6205768,251,100,1904870,15,100,7850858,361,100,5804402,231,100,6022572,487,100,1205402,68,100,8142432,541,100,7055332,744
15,cross,60,8,0.6571,6.0835,100.0,8.9092,100.0,100,3790044,440,100,2870802,112,100,1626372,156,100,14381962,1164,100,6663134,387,100,1170658,47,100,8942404,191,100,6180906,478
16,cross,60,8,0.8092,6.0114,100.0,9.6981,100.0,100,8549292,586,100,1823114,66,100,4887986,288,100,6933996,699,100,6524710,481,100,1226598,27,100,5707026,413,100,9432664,668
17,cross,60,8,0.8501,5.9952,99.92,4.9497,100.0,100,7177958,319,100,1210022,19,100,4735268,78,100,9077714,366,100,6404552,73,100,3057186,44,100,7212436,221,100,6088938,441
18,cross,60,8,0.8627,5.8377,97.29,5.7752,100.0,100,6951402,264,100,1443100,12,100,6379430,230,100,7023228,259,100,5700562,312,100,2347162,70,100,5925192,320,100,8012476,322
