run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,avg_karma,karma_1,fwd_1,drops_1,karma_2,fwd_2,drops_2,karma_3,fwd_3,drops_3,karma_4,fwd_4,drops_4,karma_5,fwd_5,drops_5,karma_6,fwd_6,drops_6,karma_7,fwd_7,drops_7,karma_8,fwd_8,drops_8
1,twopod,60,8,0.7174,4.5626,76.04,1.6087,100.0,100,4155685,41,100,8326876,88,100,1612085,25,100,2852002,39,100,4254956,35,100,8900823,101,100,1395106,16,100,2721746,28
2,twopod,60,8,0.7495,4.4288,73.81,1.9396,100.0,100,4505598,83,100,7305783,104,100,1489325,11,100,2856246,29,100,3911280,40,100,8536089,105,100,1547740,12,100,3063884,54
3,twopod,60,8,0.7203,4.3581,72.64,2.584,100.0,100,3733588,38,100,7669516,90,100,1499935,37,100,2745101,67,100,3906238,71,100,8833118,171,100,1731426,35,100,2567175,69
4,twopod,60,8,0.753,4.3345,72.24,2.3652,100.0,100,3490731,51,100,8574632,186,100,1666495,23,100,3087667,66,100,3932892,29,100,7143024,140,100,1939636,30,100,2673389,0
5,twopod,60,8,0.7615,4.5047,75.08,1.9161,100.0,100,3754844,57,100,8343032,64,100,2228262,35,100,2470168,30,100,4490654,78,100,7845471,120,100,2142854,33,100,2510259,23
6,twopod,60,8,0.608,4.4997,75.0,2.7827,100.0,100,2916780,37,100,9885758,241,100,1222155,27,100,2171030,33,100,3495092,46,100,10018502,231,100,1327870,29,100,2710704,0
7,twopod,60,8,0.7318,4.2957,71.59,2.4392,100.0,100,3047871,38,100,8406032,194,100,1717595,31,100,2727652,59,100,3027232,59,100,7914219,139,100,2099624,17,100,3277361,0
8,twopod,60,8,0.7453,4.4121,73.53,1.4034,100.0,100,3274156,15,100,8683818,68,100,1777519,12,100,3411621,16,100,3294435,25,100,7686249,100,100,1998893,22,100,2963686,56
9,twopod,60,8,0.7822,4.1163,68.6,1.8269,100.0,100,3977422,46,100,6921678,94,100,1437181,22,100,2780587,43,100,4457759,30,100,6945483,91,100,1400359,22,100,2951581,35
10,twopod,60,8,0.7768,4.093,68.22,2.3011,100.0,100,3831245,62,100,7452693,124,100,1777457,25,100,2539156,52,100,3985232,63,100,6823068,120,100,1845453,36,100,2442870,0
11,twopod,60,8,0.7548,4.3022,71.7,1.9866,100.0,100,3341702,32,100,7829984,112,100,1951533,38,100,3192501,53,100,3160298,42,100,7999493,119,100,1899103,37,100,2892027,3
12,twopod,60,8,0.77,4.367,72.78,1.4488,100.0,100,3787742,39,100,7195234,57,100,1361836,11,100,3571675,21,100,4016970,22,100,7946330,114,100,1371490,7,100,3501083,50
13,twopod,60,8,0.7773,4.1448,69.08,1.6562,100.0,100,3508951,39,100,7571781,70,100,1787019,28,100,2794484,46,100,3682619,32,100,7040712,60,100,1819050,11,100,2881241,63
14,twopod,60,8,0.7555,4.4563,74.27,1.9495,100.0,100,3610996,39,100,8132379,61,100,1315162,12,100,3592874,60,100,3643483,32,100,7833204,88,100,1559061,25,100,3734728,126
15,twopod,60,8,0.7181,4.235,70.58,1.8358,100.0,100,2904007,35,100,8159638,98,100,1961948,25,100,2730966,45,100,3291983,28,100,8282272,96,100,2065286,34,100,2366417,35
16,twopod,60,8,0.6279,4.243,70.72,2.3655,100.0,100,3039962,50,100,8268235,104,100,1310594,12,100,2130613,20,100,3203446,47,100,9966394,89,100,1442269,13,100,2460620,179
17,twopod,60,8,0.734,4.4481,74.14,1.719,100.0,100,3798584,50,100,8482268,57,100,1288048,10,100,2938042,36,100,4343620,49,100,7846785,74,100,1448492,17,100,3214963,96
18,twopod,60,8,0.7925,4.1866,69.78,2.1868,100.0,100,4143384,51,100,6904315,76,100,1740608,14,100,2797711,55,100,3599539,41,100,7410639,103,100,1955488,32,100,2847680,96
19,twopod,60,8,0.6766,4.1513,69.19,2.251,100.0,100,3498724,65,100,8406560,77,100,1507812,21,100,2569009,52,100,3132790,51,100,8408440,113,100,1435397,30,100,2176134,69
20,twopod,60,8,0.714,4.5213,75.36,1.9772,100.0,100,3412268,56,100,8811441,101,100,2062221,22,100,2524975,36,100,3441588,55,100,8809222,142,100,2102988,20,100,2745345,24
21,twopod,60,8,0.7855,4.3781,72.97,2.1588,100.0,100,3807474,39,100,7613885,101,100,1834785,34,100,3422284,27,100,3632075,44,100,7635222,140,100,1906420,23,100,2983535,75
22,twopod,60,8,0.7379,4.1674,69.46,1.9343,100.0,100,3553430,44,100,7927836,94,100,1707646,17,100,2851031,38,100,3371041,59,100,7635276,59,100,1626644,11,100,2582883,89
23,twopod,60,8,0.668,4.4513,74.19,1.8478,100.0,100,3614951,49,100,9015799,131,100,1267595,15,100,2766805,24,100,3820794,49,100,9021907,130,100,1088229,16,100,2788907,5
24,twopod,60,8,0.6978,4.3272,72.12,2.1659,100.0,100,3182623,52,100,8239421,72,100,1175097,18,100,3419937,50,100,3483242,71,100,8646113,71,100,1309228,12,100,2998657,133
25,twopod,60,8,0.7654,4.483,74.72,2.0324,100.0,100,4443679,54,100,7506342,123,100,1899210,23,100,2493566,29,100,4517803,59,100,8236692,144,100,1946022,14,100,2578887,19
26,twopod,60,8,0.806,4.4133,73.55,2.5353,100.0,100,4015464,44,100,7669672,167,100,1860637,21,100,3080458,69,100,4442711,58,100,7029363,73,100,2072952,30,100,2928490,112
27,twopod,60,8,0.7352,4.1175,68.62,2.139,100.0,100,3086123,58,100,7523918,76,100,1772954,22,100,2463792,19,100,3307934,28,100,8021706,91,100,1890932,32,100,2813823,124
28,twopod,60,8,0.765,4.1689,69.48,1.9198,100.0,100,3673360,32,100,7560540,86,100,2276939,22,100,2302502,15,100,3577261,33,100,7495837,86,100,2067940,30,100,2312152,104
29,twopod,60,8,0.6873,4.1372,68.95,2.1707,100.0,100,2870878,46,100,8560713,122,100,1095766,21,100,3043747,37,100,3577218,64,100,7780324,155,100,1218536,14,100,2881513,0
30,twopod,60,8,0.77,4.1675,69.46,2.4165,100.0,100,2896539,48,100,7060115,102,100,2172874,36,100,3152334,65,100,3212133,70,100,7958947,155,100,1903895,40,100,2899576,0
