run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,fwd_1,drops_1,fwd_2,drops_2,fwd_3,drops_3,fwd_4,drops_4,fwd_5,drops_5,fwd_6,drops_6,fwd_7,drops_7,fwd_8,drops_8
1,twopod,60,8,0.8623,5.6078,93.46,3.1535,4009723,88,7942810,115,3441443,90,4360168,54,4306849,80,9494049,194,3365352,65,5137912,227
2,twopod,60,8,0.8947,5.5446,92.41,2.7945,5163672,62,8327211,225,3565527,94,3417992,55,5175027,122,7862377,133,4149306,106,3923514,0
3,twopod,60,8,0.9086,5.539,92.32,2.828,5420421,63,7739135,185,3585488,36,4412308,81,5338215,94,7756463,194,3100488,70,4189808,83
4,twopod,60,8,0.8987,5.4692,91.15,2.8527,4809661,131,7708514,212,3246745,82,4371684,48,4347721,105,8296573,82,3848876,81,4389325,62
5,twopod,60,8,0.8993,5.6347,93.91,2.8986,5838324,103,7640101,143,3681852,58,4005666,76,5699271,117,8237494,153,3244735,62,3912667,129
6,twopod,60,8,0.8986,5.4712,91.19,3.0239,4019753,120,8050138,184,4049122,80,4259895,68,3689562,106,7996689,247,3803336,48,5165384,0
7,twopod,60,8,0.8934,5.4448,90.75,2.5347,4793155,91,8117130,94,3263511,54,4208259,64,5175461,62,7798737,114,3226790,64,4253247,165
8,twopod,60,8,0.9015,5.6105,93.51,2.7019,4861505,119,7840987,149,3176162,31,4056777,39,5630504,88,8077520,130,3400975,81,5034521,142
9,twopod,60,8,0.8924,5.6472,94.12,1.839,5524724,40,8294786,154,3459986,37,4107988,64,5681701,44,8026813,130,3480534,24,3777522,36
10,twopod,60,8,0.8674,5.4921,91.53,1.9075,4386471,52,8989335,68,3676363,68,4362725,58,4191443,45,8178208,136,3593432,65,3812536,42
11,twopod,60,8,0.9065,5.5211,92.02,3.1063,4513916,132,7860252,153,3206793,74,4488773,55,4568633,96,8013990,230,3926825,98,4829231,47
12,twopod,60,8,0.9005,5.5523,92.54,2.3428,4964039,112,7851467,143,3644131,47,3924889,49,4886894,89,8301351,121,3602501,31,4466975,74
13,twopod,60,8,0.8921,5.4396,90.66,1.8194,4484524,71,8488273,120,3670578,46,3765120,51,4818185,33,7679756,79,4152719,74,3737910,30
14,twopod,60,8,0.8902,5.6683,94.47,3.0447,4776101,86,7940928,89,3212166,68,4800609,121,5150468,64,8530539,244,2951992,85,5149353,133
15,twopod,60,8,0.8688,5.6986,94.98,2.0792,4306141,34,9020008,75,3890964,59,4446557,55,4419369,84,8818127,185,3868824,67,3969792,46
16,twopod,60,8,0.911,5.7119,95.2,2.0308,4025535,73,7714892,147,3456151,27,5507937,93,4315607,63,8303455,159,4063477,30,5452205,0
17,twopod,60,8,0.8733,5.5489,92.48,2.6935,4944911,88,8402585,109,3449502,82,3665669,40,5022569,69,8587270,192,3550339,60,3994141,128
18,twopod,60,8,0.9123,5.7481,95.8,2.2282,5445166,76,8291275,97,4560543,38,4198143,91,4680278,87,8053511,171,3887821,79,3994335,16
19,twopod,60,8,0.8951,5.5767,92.95,2.7653,3916508,72,7692410,192,4528631,102,4309703,103,3956772,47,8841277,205,4093519,72,4486509,0
20,twopod,60,8,0.9251,5.7443,95.74,1.9727,5236680,94,8101857,79,4192320,50,4547981,36,4757350,91,7752470,85,3664599,63,4828812,80
21,twopod,60,8,0.8986,5.605,93.42,2.8125,5644888,111,7631461,160,3517906,64,4734813,108,4622621,79,8492624,185,3476191,49,3916783,55
22,twopod,60,8,0.9039,5.6172,93.62,2.914,4802736,77,8089776,240,3855762,102,4213404,51,5210819,125,8164875,185,3636896,40,4155103,23
23,twopod,60,8,0.8967,5.4628,91.05,2.7383,4791453,51,8219633,140,3255377,65,4841461,135,4501774,70,7412337,122,2825847,41,5122763,145
24,twopod,60,8,0.8761,5.4728,91.21,2.3935,4220854,38,8296386,115,3136562,61,4468185,63,4217061,100,8224109,70,3116355,45,5366114,179
25,twopod,60,8,0.8935,5.6221,93.7,1.9977,4873747,48,8651047,94,3367500,54,4664662,45,4423304,37,7906657,81,3548811,35,4730324,179
26,twopod,60,8,0.8977,5.5343,92.24,2.5566,5196805,102,7651461,189,3153472,36,4050934,106,5625221,49,8139459,99,3332691,37,4357290,108
27,twopod,60,8,0.8879,5.4059,90.1,2.2353,5720541,88,8038154,156,3088245,34,3411621,49,5543894,47,7426525,101,3290638,51,4024612,92
28,twopod,60,8,0.8815,5.6747,94.58,1.9422,4279794,30,7986105,59,4470865,61,3531552,57,4961511,40,9199491,116,4085698,77,4045536,122
29,twopod,60,8,0.9134,5.6033,93.39,2.9647,5020187,52,7648313,80,3423296,78,3904479,83,5126674,114,8132085,136,4111757,95,4658115,218
30,twopod,60,8,0.8616,5.5358,92.26,2.0975,4685111,85,9106242,129,3674941,31,3638111,62,3980210,57,8354578,98,3720861,52,4358493,79
