run,topology,duration,num_flows,jfi,agg_throughput_mbps,link_util_pct,pdr_pct,avg_karma,karma_1,fwd_1,drops_1,karma_2,fwd_2,drops_2,karma_3,fwd_3,drops_3,karma_4,fwd_4,drops_4,karma_5,fwd_5,drops_5,karma_6,fwd_6,drops_6,karma_7,fwd_7,drops_7,karma_8,fwd_8,drops_8
1,twopod,60,8,0.9389,5.7428,95.71,4.4268,45.75,49,4236854,176,83,4254614,109,0,8419213,309,69,6720829,134,41,5133197,202,0,5199745,204,35,4660491,144,89,4445965,52
2,twopod,60,8,0.9311,5.8316,97.19,4.0003,62.0,69,6523834,110,85,3107712,62,92,8002587,260,85,6038173,219,10,6299692,134,57,4536407,85,35,5399491,190,63,3828986,155
3,twopod,60,8,0.9031,5.6636,94.39,3.6934,74.0,20,7351559,128,94,3933719,105,100,6090739,211,92,4084292,121,79,5251610,90,95,5879589,195,95,7721233,149,17,2164109,87
4,twopod,60,8,0.9382,5.9699,99.5,4.118,34.88,6,6460895,223,54,5700523,192,24,7621876,276,31,7046162,177,0,3539866,89,99,5612907,119,40,3292552,63,25,5499787,143
5,twopod,60,8,0.9189,5.99,99.83,4.2366,49.25,71,4444866,96,44,8283771,183,62,3608889,111,94,5842964,137,5,8261569,303,85,4628930,131,33,5546721,166,0,4307496,198
6,twopod,60,8,0.9505,5.7605,96.01,3.5334,60.25,75,6172955,176,0,2909889,90,94,5396301,97,99,5329425,144,98,5168690,136,33,6950436,214,0,4459409,102,83,6816914,96
7,twopod,60,8,0.9493,6.0005,100,3.1974,51.38,0,5554923,89,92,6820462,139,42,6762083,191,71,6196692,159,54,4734588,86,52,3296502,70,89,7266537,202,11,4371997,55
8,twopod,60,8,0.917,5.6332,93.89,3.2196,20.62,22,2455793,73,60,7587296,229,0,5013606,109,25,5113688,145,17,4615363,117,27,5913807,147,8,4121737,117,6,7427414,0
9,twopod,60,8,0.9016,5.6474,94.12,4.4692,46.75,0,3931817,156,27,6588652,270,41,7526627,149,32,4793205,165,90,4858270,121,69,8048695,304,19,3244539,108,96,3363759,48
10,twopod,60,8,0.9124,5.8149,96.92,3.6742,58.25,0,3383944,82,90,4428883,118,94,6830525,227,0,4187817,126,93,8812472,288,67,4111122,119,51,5446804,149,71,6410186,0
11,twopod,60,8,0.921,5.9969,99.95,4.4395,35.0,80,3788795,115,41,6838858,167,72,6422825,240,20,3705731,159,18,6772943,133,0,7227899,276,30,3096767,126,19,7123297,177
12,twopod,60,8,0.954,5.8239,97.06,4.1728,28.75,3,5743626,206,37,6371637,165,0,3707414,111,98,7139636,194,0,5253088,187,35,3702498,81,4,5106922,134,53,6654056,190
13,twopod,60,8,0.9114,5.7239,95.4,3.4087,52.25,79,4041391,72,73,3543476,93,77,3695950,109,10,7604998,247,94,5708154,144,9,4399474,69,60,8257919,182,16,5678112,94
14,twopod,60,8,0.9096,5.7911,96.52,4.1764,44.62,0,5944911,148,83,3609662,134,0,5302812,105,47,9244620,301,88,3637293,132,88,4316798,114,21,5095877,155,30,6281432,173
15,twopod,60,8,0.9412,5.9714,99.52,3.0585,60.5,82,6648632,140,97,6978444,199,91,5490763,149,70,4491128,100,0,3337361,81,18,4019395,56,53,7347826,123,73,6471843,94
16,twopod,60,8,0.9397,5.8113,96.86,4.421,28.88,0,5539020,149,0,6854257,175,38,4111889,146,76,3603705,89,88,6367835,272,0,7715872,285,17,5382756,206,12,4009652,22
17,twopod,60,8,0.9105,5.8611,97.68,3.047,64.75,70,4262748,56,41,5553432,142,25,4302596,115,100,5838361,113,91,7294303,119,32,5236315,130,98,8671820,235,61,2798473,11
18,twopod,60,8,0.9107,5.702,95.03,3.3363,33.62,0,6458853,115,27,5453148,92,19,5592977,100,6,7712326,106,0,2168618,31,95,3571904,70,98,6807871,154,24,4999336,316
19,twopod,60,8,0.9489,5.9109,98.51,4.4549,41.75,87,6677022,224,0,5451191,182,18,3842487,92,31,4782880,118,7,3510427,69,45,7124734,306,54,6228427,230,92,6714323,157
20,twopod,60,8,0.9213,5.9348,98.91,4.0173,43.75,69,4062181,128,44,3218745,60,50,7469644,228,18,5477325,125,10,5820303,166,66,7975473,191,49,3886037,128,44,6601469,216
21,twopod,60,8,0.9404,5.8373,97.29,4.3207,49.38,24,4162999,90,15,4283087,126,53,6320135,226,27,4630996,84,68,7773216,181,42,6065354,179,98,3705035,103,68,6838780,329
22,twopod,60,8,0.8993,5.8694,97.82,4.3012,28.12,3,5060184,107,18,5697176,227,0,5569279,190,26,6658309,193,17,4450250,121,79,3355285,130,31,3670302,71,51,9559739,280
23,twopod,60,8,0.9407,5.6833,94.72,3.5994,43.38,88,5337491,134,7,5524355,124,41,5582557,139,18,5345926,103,3,3520286,79,0,7522022,203,99,6591570,210,91,3200525,69
24,twopod,60,8,0.9088,5.7022,95.04,2.971,45.62,27,4786411,87,58,8220523,135,27,7396282,94,87,3243480,45,100,3280929,82,10,5066877,116,3,6219534,87,53,4552804,227
25,twopod,60,8,0.9189,5.8743,97.91,4.1228,36.88,97,7175269,266,8,5788775,168,0,5373335,142,87,5273545,131,72,7178161,188,19,5680636,140,5,1582753,42,7,6004835,186
26,twopod,60,8,0.9473,5.9988,99.98,4.4046,47.25,57,6530090,266,60,4490616,116,45,8196513,211,0,4398410,172,98,5400108,189,23,3985194,108,0,6645221,147,95,5345186,173
27,twopod,60,8,0.9459,5.8233,97.06,3.9012,70.0,23,6571203,218,97,4488183,87,96,7505493,181,79,3376510,95,80,6383788,173,77,5627782,130,14,4045169,76,94,5676644,222
